source_file,equipo,modelo,tipo_documento,prioridad_fuente,decision_curaduria,idioma,estado_producto,motivo_decision,archivo_original,ruta_original,alerta_automatica
manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.md,Agitador Presvac AE-500,Agitador Presvac AE-500,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual Técnico y de Mantenimiento Agitador Presvac AE-500 A.pdf,Manuales-20260528T010304Z-3-001/Manuales/Agitador Presvac AE500/Manual Técnico y de Mantenimiento Agitador Presvac AE-500 A.pdf,Sin alerta automática
checklist_bilirrubinometro_drager_jm_105.md,Ventilador Draeger VN500,Bilirrubinometro Drager JM-105,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Checklist Bilirrubinómetro Dräger JM-105.pdf,Manuales-20260528T010304Z-3-001/Manuales/Bilirrubinometro/Checklist Bilirrubinómetro Dräger JM-105.pdf,Sin alerta automática
manual_de_usuario_bilirrubinometro_drager_jm_105.md,Ventilador Draeger VN500,Bilirrubinometro Drager JM-105,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,Manual de Usuario Bilirrubinómetro Dräger JM-105.pdf,Manuales-20260528T010304Z-3-001/Manuales/Bilirrubinometro/Manual de Usuario Bilirrubinómetro Dräger JM-105.pdf,Sin alerta automática
manual_tecnico_bilirrubinometro_drager_jm_105_espanol.md,Ventilador Draeger VN500,Bilirrubinometro Drager JM-105,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual Técnico Bilirrubinómetro Dräger JM-105 (Español).pdf,Manuales-20260528T010304Z-3-001/Manuales/Bilirrubinometro/Manual Técnico Bilirrubinómetro Dräger JM-105 (Español).pdf,Sin alerta automática
material_educativo_bilirrubinometro_drager_jm_105_ingles.md,Ventilador Draeger VN500,Bilirrubinometro Drager JM-105,sin_clasificar,C,revisar,ingles,pendiente,Tipo documental no clasificado; requiere revision manual antes de activar.,Material Educativo Bilirrubinómetro Dräger JM-105 (Inglés).pdf,Manuales-20260528T010304Z-3-001/Manuales/Bilirrubinometro/Material Educativo Bilirrubinómetro Dräger JM-105 (Inglés).pdf,Sin alerta automática
manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.md,Cabina Microbiologica Euroclone SafeMate EZ,Cabina Microbiologica Euroclone SafeMate EZ,manual_servicio,A,incluir,ingles,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual de Servicio Cabina Microbiológica EuroClone Safemate EZ (Ing).pdf,Manuales-20260528T010304Z-3-001/Manuales/Cabina de bioseguridad/Manual de Servicio Cabina Microbiológica EuroClone Safemate EZ (Ing).pdf,Sin alerta automática
manual_de_usuario_y_tecnico_cama_linet_eleganza_1.md,Cama Electronica Linet Eleganza 1,Cama Electronica Linet Eleganza 1,manual_usuario,B,incluir,espanol,validado,Manual de usuario; fuente util para operador/usuario y operacion segura.,Manual de Usuario y Técnico Cama Linet Eleganza 1.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camas electrónicas/Manual de Usuario y Técnico Cama Linet Eleganza 1.pdf,Sin alerta automática
manual_tecnico_cama_pardo_hitech_act.md,Cama Electronica Pardo Hitech ACT,Cama Electronica Pardo Hitech ACT,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual Técnico Cama Pardo HiTech ACT.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camas electrónicas/Manual Técnico Cama Pardo HiTech ACT.pdf,Sin alerta automática
manual_tecnico_cama_pardo_komplet.md,Cama Electronica Pardo Komplet,Cama Electronica Pardo Komplet,manual_tecnico,A,incluir,espanol,validado,"Manual tecnico/servicio; fuente prioritaria para mantenimiento, fallas y procedimientos.",Manual Técnico Cama Pardo Komplet.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camas electrónicas/Manual Técnico Cama Pardo Komplet.pdf,Sin alerta automática
manual_de_usuario_incubadora_medix_tr200.md,Incubadora Medix TR200,Incubadora Medix TR200,manual_usuario,B,revisar,espanol,pendiente,Manual de usuario; fuente util para operador/usuario y operacion segura. Requiere revision OCR antes de considerarse fuente confiable.,Manual de Usuario Incubadora Medix TR200.pdf,Manuales-20260528T010304Z-3-001/Manuales/Camilla de Hemodinamia Stille Q2/Manual de Usuario Incubadora Medix TR200.pdf,Requiere revision OCR
