id,source_file,equipo,modelo,tipo_documento,prioridad_fuente,decision_curaduria,idioma,estado_producto,motivo_decision,observaciones
1,agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.md,Agitador Presvac AE500,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
2,bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.md,Bilirrubinómetro Dräger JM-105,,checklist,B,incluir,indeterminado,activo,Checklist útil como fuente complementaria.,
3,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.md,Bilirrubinómetro Dräger JM-105,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
4,bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.md,Bilirrubinómetro Dräger JM-105,,manual_tecnico,A,incluir,espanol,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
6,cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.md,Cabina de bioseguridad,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
7,cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.md,Cama electrónica,,manual_tecnico,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
8,cama_electronica_manual_tecnico_cama_pardo_hitech_act.md,Cama electrónica,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
9,cama_electronica_manual_tecnico_cama_pardo_komplet.md,Cama electrónica,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
10,camilla_de_hemodinamia_stille_q2_manual_tecnico_incubadora_medix_tr306.md,Incubadora Medix,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
11,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.md,Desfibrilador Mindray BeneHeart,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
12,dinan_af500_mtm_af_500_manual_tecnico_y_mantenimiento_v5_0_2020_02_27.md,Dinan AF500,,manual_tecnico,A,incluir,indeterminado,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
13,dinan_af500_mu_af_500_dr_version_v05_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
14,dinan_af500_mu_dr_console_af_500_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
15,dinan_af500_mu_sm500_manual_de_usuario_v1_0_2024_09_09.md,Dinan AF500,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
16,drager_vn500_9066667_babyflow_es_finit.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,espanol,activo,Documento operativo BabyFlow en español; útil como fuente complementaria del respirador/accesorio.,
17,drager_vn500_manual_usuario_vn500_es.md,Respirador Dräger VN500,,manual_usuario,B,incluir,espanol,activo,Manual de usuario útil como fuente operativa complementaria.,
25,draguer_respirador_draeger_vn500_manual_3_9054521_01_erg_ga_v_vn_ps500_batt_en.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,ingles,activo,Documento técnico específico sobre batería/fuente; útil como complemento del respirador.,
27,draguer_respirador_draeger_vn500_manual_abreviaturas_y_simbolos_evita_v300_vn500.md,Respirador Dräger VN500,,sin_clasificar,B,incluir,indeterminado,activo,"Documento de abreviaturas y símbolos; útil como apoyo interpretativo, no como fuente principal.",
29,draguer_respirador_draeger_vn500_manual_servicio_entrar_en_servicio_y_copiar_log_errores_recarga_soft.md,Respirador Dräger VN500,,manual_tecnico,A,incluir,ingles,activo,"Fuente técnica o de servicio útil para mantenimiento, diagnóstico o reparación.",
30,electrobisturi_dispo_8155_14_manual_kairos.md,Electrobisturí,,sin_clasificar,B,incluir,indeterminado,activo,Documento identificado como manual de equipo; se incluye como fuente complementaria.,
31,electrobisturi_leep_system_1000.md,Electrobisturí,,sin_clasificar,B,incluir,indeterminado,activo,Documento del sistema LEEP; se incluye como fuente complementaria hasta validación fina.,
32,electrobisturi_leep_user_manual.md,Electrobisturí,,manual_usuario,B,incluir,indeterminado,activo,Manual de usuario útil como fuente operativa complementaria.,
